Time,Value
10-01-2017 00:00,55
10-01-2017 00:05,58
10-01-2017 00:10,57
10-01-2017 00:15,60
10-01-2017 00:20,58
10-01-2017 00:25,56
10-01-2017 00:30,57
10-01-2017 00:35,56
10-01-2017 00:40,54
10-01-2017 00:45,54
10-01-2017 00:50,53
10-01-2017 00:55,54
10-01-2017 01:00,54
10-01-2017 01:05,54
10-01-2017 01:10,53
10-01-2017 01:15,55
10-01-2017 01:20,55
10-01-2017 01:25,53
10-01-2017 01:30,53
10-01-2017 01:35,52
10-01-2017 01:40,50
10-01-2017 01:45,49
10-01-2017 01:50,49
10-01-2017 01:55,54
10-01-2017 02:00,51
10-01-2017 02:05,51
10-01-2017 02:10,49
10-01-2017 02:15,48
10-01-2017 02:20,48
10-01-2017 02:25,47
10-01-2017 02:30,47
10-01-2017 02:35,47
10-01-2017 02:40,47
10-01-2017 02:45,47
10-01-2017 02:50,46
10-01-2017 02:55,47
10-01-2017 03:00,45
10-01-2017 03:05,50
10-01-2017 03:10,44
10-01-2017 03:15,45
10-01-2017 03:20,47
10-01-2017 03:25,48
10-01-2017 03:30,49
10-01-2017 03:35,52
10-01-2017 03:40,50
10-01-2017 03:45,49
10-01-2017 03:50,48
10-01-2017 03:55,47
10-01-2017 04:00,47
10-01-2017 04:05,46
10-01-2017 04:10,46
10-01-2017 04:15,47
10-01-2017 04:20,46
10-01-2017 04:25,49
10-01-2017 04:30,48
10-01-2017 04:35,47
10-01-2017 04:40,46
10-01-2017 04:45,45
10-01-2017 04:50,48
10-01-2017 04:55,43
10-01-2017 05:00,43
10-01-2017 05:05,51
10-01-2017 05:10,49
10-01-2017 05:15,52
10-01-2017 05:20,49
10-01-2017 05:25,49
10-01-2017 05:30,47
10-01-2017 05:35,47
10-01-2017 05:40,45
10-01-2017 05:45,48
10-01-2017 05:50,47
10-01-2017 05:55,43
10-01-2017 06:00,43
10-01-2017 06:05,44
10-01-2017 06:10,44
10-01-2017 06:15,44
10-01-2017 06:20,44
10-01-2017 06:25,44
10-01-2017 06:30,45
10-01-2017 06:35,49
10-01-2017 06:40,47
10-01-2017 06:45,47
10-01-2017 06:50,52
10-01-2017 06:55,46
10-01-2017 07:00,46
10-01-2017 07:05,45
10-01-2017 07:10,48
10-01-2017 07:15,50
10-01-2017 07:20,50
10-01-2017 07:25,50
10-01-2017 07:30,48
10-01-2017 07:35,47
10-01-2017 07:40,48
10-01-2017 07:45,45
10-01-2017 07:50,45
10-01-2017 07:55,45
10-01-2017 08:00,46
10-01-2017 08:05,47
10-01-2017 08:10,47
10-01-2017 08:15,47
10-01-2017 08:20,47
10-01-2017 08:25,49
10-01-2017 08:30,46
10-01-2017 08:35,46
10-01-2017 08:40,46
10-01-2017 08:45,46
10-01-2017 08:50,55
10-01-2017 08:55,54
10-01-2017 09:00,52
10-01-2017 09:05,52
10-01-2017 09:10,54
10-01-2017 09:15,53
10-01-2017 09:20,53
10-01-2017 09:25,51
10-01-2017 09:30,55
10-01-2017 09:35,47
10-01-2017 09:40,53
10-01-2017 09:45,60
10-01-2017 09:50,65
10-01-2017 09:55,78
10-01-2017 10:00,65
10-01-2017 10:05,61
10-01-2017 10:10,52
10-01-2017 10:15,53
10-01-2017 10:20,62
10-01-2017 10:25,58
10-01-2017 10:30,55
10-01-2017 10:35,54
10-01-2017 10:40,63
10-01-2017 10:45,65
10-01-2017 10:50,68
10-01-2017 10:55,85
10-01-2017 11:00,54
10-01-2017 11:05,51
10-01-2017 11:10,56
10-01-2017 11:15,79
10-01-2017 11:20,73
10-01-2017 11:25,58
10-01-2017 11:30,64
10-01-2017 11:35,58
10-01-2017 11:40,62
10-01-2017 11:45,65
10-01-2017 11:50,60
10-01-2017 11:55,57
10-01-2017 12:00,55
10-01-2017 12:05,60
10-01-2017 12:10,64
10-01-2017 12:15,62
10-01-2017 12:20,75
10-01-2017 12:25,74
10-01-2017 12:30,76
10-01-2017 12:35,67
10-01-2017 12:40,90
10-01-2017 12:45,89
10-01-2017 12:50,83
10-01-2017 12:55,100
10-01-2017 13:00,114
10-01-2017 13:05,109
10-01-2017 13:10,64
10-01-2017 13:15,83
10-01-2017 13:20,86
10-01-2017 13:25,67
10-01-2017 13:30,112
10-01-2017 13:35,133
10-01-2017 13:40,94
10-01-2017 13:45,85
10-01-2017 13:50,64
10-01-2017 13:55,56
10-01-2017 14:00,64
10-01-2017 14:05,106
10-01-2017 14:10,99
10-01-2017 14:15,63
10-01-2017 14:20,63
10-01-2017 14:25,63
10-01-2017 14:30,61
10-01-2017 14:35,61
10-01-2017 14:40,50
10-01-2017 14:45,71
10-01-2017 14:50,67
10-01-2017 14:55,63
10-01-2017 15:00,53
10-01-2017 15:05,56
10-01-2017 15:10,56
10-01-2017 15:15,57
10-01-2017 15:20,60
10-01-2017 15:25,60
10-01-2017 15:30,61
10-01-2017 15:35,54
10-01-2017 15:40,53
10-01-2017 15:45,56
10-01-2017 15:50,59
10-01-2017 15:55,51
10-01-2017 16:00,57
10-01-2017 16:05,73
10-01-2017 16:10,71
10-01-2017 16:15,57
10-01-2017 16:20,53
10-01-2017 16:25,58
10-01-2017 16:30,54
10-01-2017 16:35,55
10-01-2017 16:40,54
10-01-2017 16:45,54
10-01-2017 16:50,54
10-01-2017 16:55,56
10-01-2017 17:00,56
10-01-2017 17:05,57
10-01-2017 17:10,55
10-01-2017 17:15,57
10-01-2017 17:20,57
10-01-2017 17:25,74
10-01-2017 17:30,59
10-01-2017 17:35,83
10-01-2017 17:40,60
10-01-2017 17:45,62
10-01-2017 17:50,58
10-01-2017 17:55,57
10-01-2017 18:00,59
10-01-2017 18:05,60
10-01-2017 18:10,62
10-01-2017 18:15,77
10-01-2017 18:20,86
10-01-2017 18:25,61
10-01-2017 18:30,67
10-01-2017 18:35,76
10-01-2017 18:40,57
10-01-2017 18:45,58
10-01-2017 18:50,56
10-01-2017 18:55,54
10-01-2017 19:00,64
10-01-2017 19:05,71
10-01-2017 19:10,54
10-01-2017 19:15,57
10-01-2017 19:20,62
10-01-2017 19:25,51
10-01-2017 19:30,55
10-01-2017 19:35,51
10-01-2017 19:40,51
10-01-2017 19:45,63
10-01-2017 19:50,74
10-01-2017 19:55,58
10-01-2017 20:00,57
10-01-2017 20:05,57
10-01-2017 20:10,53
10-01-2017 20:15,54
10-01-2017 20:20,55
10-01-2017 20:25,56
10-01-2017 20:30,58
10-01-2017 20:35,57
10-01-2017 20:40,69
10-01-2017 20:45,54
10-01-2017 20:50,57
10-01-2017 20:55,72
10-01-2017 21:00,85
10-01-2017 21:05,91
10-01-2017 21:10,65
10-01-2017 21:15,67
10-01-2017 21:20,57
10-01-2017 21:25,55
10-01-2017 21:30,56
10-01-2017 21:35,58
10-01-2017 21:40,57
10-01-2017 21:45,58
10-01-2017 21:50,58
10-01-2017 21:55,57
10-01-2017 22:00,64
10-01-2017 22:05,60
10-01-2017 22:10,56
10-01-2017 22:15,56
10-01-2017 22:20,63
10-01-2017 22:25,65
10-01-2017 22:30,55
10-01-2017 22:35,57
10-01-2017 22:40,61
10-01-2017 22:45,57
10-01-2017 22:50,59
10-01-2017 22:55,57
10-01-2017 23:00,59
10-01-2017 23:05,61
10-01-2017 23:10,56
10-01-2017 23:15,56
10-01-2017 23:20,56
10-01-2017 23:25,56
10-01-2017 23:30,56
10-01-2017 23:35,54
10-01-2017 23:40,56
10-01-2017 23:45,50
10-01-2017 23:50,48
10-01-2017 23:55,52
10-02-2017 00:00,51
10-02-2017 00:05,49
10-02-2017 00:10,46
10-02-2017 00:15,46
10-02-2017 00:20,46
10-02-2017 00:25,47
10-02-2017 00:30,46
10-02-2017 00:35,46
10-02-2017 00:40,51
10-02-2017 00:45,47
10-02-2017 00:50,47
10-02-2017 00:55,48
10-02-2017 01:00,53
10-02-2017 01:05,53
10-02-2017 01:10,45
10-02-2017 01:15,49
10-02-2017 01:20,48
10-02-2017 01:25,48
10-02-2017 01:30,47
10-02-2017 01:35,52
10-02-2017 01:40,53
10-02-2017 01:45,50
10-02-2017 01:50,51
10-02-2017 01:55,47
10-02-2017 02:00,50
10-02-2017 02:05,45
10-02-2017 02:10,46
10-02-2017 02:15,46
10-02-2017 02:20,48
10-02-2017 02:25,45
10-02-2017 02:30,45
10-02-2017 02:35,49
10-02-2017 02:40,45
10-02-2017 02:45,44
10-02-2017 02:50,45
10-02-2017 02:55,45
10-02-2017 03:00,44
10-02-2017 03:05,44
10-02-2017 03:10,44
10-02-2017 03:15,43
10-02-2017 03:20,42
10-02-2017 03:25,43
10-02-2017 03:30,48
10-02-2017 03:35,42
10-02-2017 03:40,46
10-02-2017 03:45,46
10-02-2017 03:50,47
10-02-2017 03:55,46
10-02-2017 04:00,45
10-02-2017 04:05,45
10-02-2017 04:10,49
10-02-2017 04:15,44
10-02-2017 04:20,42
10-02-2017 04:25,42
10-02-2017 04:30,41
10-02-2017 04:35,40
10-02-2017 04:40,40
10-02-2017 04:45,40
10-02-2017 04:50,40
10-02-2017 04:55,46
10-02-2017 05:00,46
10-02-2017 05:05,41
10-02-2017 05:10,41
10-02-2017 05:15,45
10-02-2017 05:20,46
10-02-2017 05:25,42
10-02-2017 05:30,47
10-02-2017 05:35,50
